Behavior space recorded in the following order: 

Real Data? 0
 Number of elections: 1
 VM? 0
 Stubborn(0)/Initial Preference(1): 0	Number of stubborn nodes: 0	Dependent on jury trial time? 0	P(stop if NOT hung) 1-SUPER_MAJORITY (0.250000) threshold 0.000000:10.000000:0.000000, SUPER_MAJORITY (0.750000) threshold 0.000000:10.000000:0.000000
 Infect in(-1)/neutral(0)/out(1)?: -1
 Number of nodes = 12 : 4.000000 : 12
 sample fraction = 1.000000 
 Grid? 0	Correlation? 0	R_c = 0.000000	alpha = 0.000000 : 0.400000 : 0.000000
 <K> = 10.000000 : 2.000000 : 10.000000
 fraction of links that are edges of triangles = 0.000000 : 0.200000 : 0.000000
 assort_p = 0.000000 : 0.200000 : 0.000000
 alpha coefficient for wait time = 0.000000 : 0.200000 : 0.000000
 wait time = 0.000000 : 4.000000 : 0.000000
 mutation probability = 0.000000 : 0.400000 : 0.000000
 stubborn recovery? 0 	recovery probability = 0.000000 : 0.100000 : 0.000000
 flip rate = 0.000000 : 0.400000 : 0.000000 
 infection probability = 1.000000 : 0.500000 : 1.000000 
 stubbornness = 0.000000 : 2000000.000000 : 0.000000	scale free s? 0 
 Heaviside freeze (0 = No/1 = Yes): 0 	 MVM_p = 0.864000:0.040000:0.864000 	 stubborn time-scale=1.592000:0.700000:2 	 Remove ALL hung conditions 0 	 Remove only alpha hung conditions 0 	 remove only stubbornness hung conditions 0 	 remove q time dependence 0 	 remove s time dependence 0 	 hung ratio =0.221000:0.100000:0.221000  	stopping rate if not hung = |1/2 - v_g/N|*(0.014600:0.002000:0.014600), binomial_p: 0.537900:0.010000:0.537900 
 infection #: 1:1:2 
 initial fraction infected = 1.000000	infect candidates? 0 
 delta infected = 0.000000:0.100000:0.000000 
 Number of Runs= 5000 
 Trials= 32 
 transient time = 19999 
 run time = 20000



 23.295296	10



 6.947544	9



 2.314060	11



 3.807303	3



 26.229386	1



 0.912669	5



 1.408987	9



 6.442978	11



 2.153312	8



 1.737364	9



 1.486564	0



 4.787573	11



 17.054632	0



 0.330578	10



 29.597783	9



 21.496775	9



 7.855405	9



 14.390204	9



 30.221457	2



 1.984576	10



 17.035925	9



 73.819032	10



 6.037678	9



 11.549148	1



 3.060385	2



 6.930213	11



 3.797429	11



 8.425118	2



 13.608117	11



 3.235827	8



 0.413948	3



 3.554403	2



































































































 5.204900	2



 4.865183	0



 14.203610	2



 8.177412	10



 1.736273	11



 15.212290	9



 1.157075	10



 18.498641	2



 12.243398	9



 4.546828	3



 16.784011	9



 2.070543	9



 13.872630	10



 4.310531	4



 4.551842	2



 3.139251	10



 8.258080	2



 5.045174	1



 2.066346	10



 7.357194	9



 14.372750	2



 1.652493	3



 1.404496	11



 13.309893	3



 11.892853	10



 9.259186	9



 6.870281	3



 3.384378	11



 2.646132	10



 2.980818	11



 4.798049	10



 4.134290	10



































































































 1.900615	11



 9.071801	12



 4.226664	10



 3.221524	2



 15.983403	0



 4.625910	10



 0.746128	3



 3.383205	12



 5.123927	10



 16.019749	10



 6.200637	10



 3.142143	3



 16.838689	4



 1.900410	1



 3.717239	10



 23.534902	10



 5.869336	9



 0.414549	9



 34.724794	9



 5.293852	9



 7.347457	1



 4.626007	2



 9.263490	9



 13.396065	9



 19.016989	9



 23.478686	4



 32.520005	8



 8.433090	9



 28.156813	10



 6.280808	2



 9.688254	3



 4.796033	9



































































































 5.294453	9



 15.540573	3



 4.378717	1



 3.228724	10



 15.030512	10



 17.590975	10



 8.844042	9



 2.310366	11



 20.753349	9



 5.293768	10



 1.736467	2



 3.721630	9



 23.483545	9



 2.314948	9



 8.434292	3



 8.125948	4



 14.370851	10



 0.165940	7



 11.732514	2



 13.034612	11



 0.330779	4



 29.972752	10



 26.925268	10



 5.626333	3



 0.496518	10



 14.039872	10



 3.558694	3



 19.515910	3



 0.413049	10



 22.404336	9



 0.082970	4



 20.834215	9



































































































 4.138282	9



 6.188575	11



 0.580789	4



 16.040287	9



 12.716154	10



 24.473476	9



 0.909364	9



 16.747885	11



 6.112766	2



 7.011179	11



 2.976522	11



 2.890156	11



 7.191949	9



 11.243352	3



